Goals,Assists,Shots,Shots_on_Target,Minutes,xG,Key_Passes,Opp_GA_per_game,Match_Day,Match_Month,Match_Weekday,Opponent_Cercle_Brugge,Opponent_Club_Brugge,Opponent_FCV_Dender_EH,Opponent_KAA_Gent,Opponent_KV_Kortrijk,Opponent_KV_Mechelen,Opponent_KVC_Westerlo,Opponent_OH_Leuven,Opponent_R_Charleroi_SC,Opponent_RSC_Anderlecht,Opponent_Royal_Antwerp,Opponent_Sint_Truidense,Opponent_Standard_Liege,Opponent_Union_Saint_Gilloise,Venue_Home
0,0,4,0,89,0.1,1,1.17,28,7,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1,0,7,1,90,0.35,0,1.1,3,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,6,2,90,0.3,1,1.2,11,8,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,2,90,0.8,1,2.0,17,8,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,4,0,90,0.2,0,1.63,30,8,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,0,6,3,72,0.35,1,1.47,14,9,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,3,1,78,0.1,0,0.9,17,9,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,7,1,75,0.5,1,1.7,22,9,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,59,0.15,1,1.33,28,9,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,6,3,90,0.2,0,1.83,5,10,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,4,2,84,0.4,2,1.87,20,10,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,5,1,76,0.05,0,1.1,27,10,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,2,1,73,0.3,1,1.07,3,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,4,0,74,0.2,1,0.83,10,11,6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,4,2,85,0.45,1,1.2,23,11,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0,8,2,90,0.5,1,1.87,1,12,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,2,1,82,0.35,1,1.83,7,12,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,0,3,1,90,0.2,1,1.2,15,12,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,5,2,88,0.4,2,0.9,22,12,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2,0,9,5,83,0.85,1,1.07,26,12,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,2,1,69,0.1,0,1.1,11,1,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0,0,0,18,0.0,0,1.33,18,1,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,1,2,1,62,0.4,2,1.63,25,1,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,7,1,90,0.25,1,2.0,1,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,2,0,22,0.05,0,1.47,8,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,5,2,83,0.35,1,1.17,14,2,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,4,1,77,0.2,1,1.1,23,2,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,6,3,90,0.4,1,1.2,28,2,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,2,2,85,0.15,0,1.7,8,3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,0,4,1,81,0.5,1,0.83,15,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
